loc,lat,lon,pref,area
浜頓別クッチャロ湖,45.137,142.3193,北海道,北海道
大野川河口,41.8224,140.6544,北海道,北海道
宮島沼,43.3324,141.7129,北海道,北海道
阿武隈川西田堂坂,37.4344,140.4204,福島県,東北
ウトナイ湖,42.6997,141.7117,北海道,北海道
千波湖,36.3699,140.46,茨城県,関東
濤沸湖,43.9352,144.3943,北海道,北海道
加戸大堤,36.2296,136.1794,福井県,中部
野付半島・野付湾,43.5963,145.2338,北海道,北海道
小諸発電所第一調整池,36.2466,138.4548,長野県,九州
瀬戸川河口,34.877210,138.316976,静岡県,中部
厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,43.0895,145.0824,北海道,北海道
琵琶湖,35.4448,136.1899,滋賀県,近畿
厚岸・別寒辺牛・霧多布（琵琶瀬川下流）,43.0895,145.0824,北海道,北海道
大阪城公園,34.6879,135.5248,大阪府,近畿
倉敷市岡田大池,34.646799,133.702678,岡山県,中国・四国
風蓮湖 根室市側,43.3032,145.3285,北海道,北海道
八幡川河口,34.3601,132.3775,広島県,中国・四国
風蓮湖 別海町側,43.3032,145.3285,北海道,北海道
風蓮湖（別海町側）,43.3032,145.3285,北海道,北海道
御手洗川河口,34.3415,132.328,広島県,中国・四国
小湊,40.9397,140.9731,青森県,東北
きらら浜／土路石川河口,34.0243,131.3809,山口県,中国・四国
十和田湖,40.4699,140.8797,青森県,東北
姫田中池,34.151,134.5659,徳島県,中国・四国
大潟草原,39.9208,140.0187,秋田県,東北
三蔵宮池,33.3616,132.4847,北海道,北海道
伊豆沼,38.7179,141.1053,宮城県,東北
巨勢川調整池,33.294950,130.307034,佐賀県,九州
巨瀬川調整池,33.294950,130.307034,佐賀県,九州
大山上池・下池,38.7538,139.7574,山形県,東北
江津湖,32.7705,130.7511,熊本県,九州
谷津,35.6785,140.0045,千葉県,関東
二ツ立調整池,32.0337,131.4953,宮崎県,九州
片野鴨池,36.3218,136.2893,石川県,中部
高松の池,32.864900,130.144219,岩手県,東北
佐潟,37.8155,138.8738,新潟県,中部
仙台市大沼,38.237142,140.970783,宮城県,東北
藤前干潟,35.0839,136.8401,愛知県,中部
波志江沼,36.362546,139.192839,群馬県,関東
浜甲子園,34.7111,135.3492,兵庫県,近畿
伊佐沼,35.926277,139.513399,埼玉県,関東
中海,35.4411,133.2865,鳥取島根県,中国・四国
お幕場大池,38.173700,139.439514,新潟県,中部
宍道湖,35.4506,132.9593,島根県,中国・四国
油ヶ淵,34.900114,137.017663,愛知県,中部
和白干潟,33.6812,130.4218,福岡県,九州
雲出川河口,34.632236,136.548756,三重県,近畿
霧島,31.88412,130.96885,宮崎鹿児島県,九州
加陽水辺公園,35.505236,134.830807,兵庫県,近畿
出水・高尾野,32.1099,130.2834,鹿児島県,九州
湖山池,35.5075,134.1330,鳥取県,中国・四国
漫湖,26.1961,127.6843,沖縄県,沖縄
兼久池,33.892783,133.045759,愛媛県,中国・四国
大明神池,33.89,133.049,愛媛県,中国・四国
桶ヶ谷沼,34.7418,137.883,静岡県,中部
長浜干拓,33.2878,129.8484,佐賀県,九州
岡田大池,34.646799,133.702678,岡山県,中国・四国
十市石土池,33.525769,133.607647,高知県,中国・四国
諫早湾,32.864900,130.144219,長崎県,九州
鹿児島湾奥部,31.714857,130.636812,鹿児島県,九州
最上川河口,38.9238,139.8118,山形県,東北
宇和運動公園,33.3577,132.5102,愛媛県,中国・四国
高野池,37.22507889,140.3685747,福島県,東北
倉敷市玉島下水処理場,34.515,133.6804,岡山県,中国・四国
涛沸湖,43.9352,144.3943,北海道,北海道
